Artist,Song Title,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,Total Score,Years in Chart,Average Rank,Peak Position,Gender,Year
Abba,Dancing Queen,31,16,5,7,2,9,4,3,2,2,3,4,9,3,4,4,6,7,2,1,1,1,776,22,5.727272727,1,F,1976
Abba,Mamma Mia,20,0,0,0,32,0,23,25,20,0,0,0,0,0,38,0,38,0,0,0,30,0,102,8,28.25,20,F,1975
Abba,The Winner Takes It All,0,0,0,0,35,0,0,35,35,0,0,0,0,0,0,0,0,0,34,0,0,0,25,4,34.75,34,F,1980
Abba,Waterloo,39,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,29,0,18,3,35,29,F,1974
Acker Bilk,Stranger on the Shore,0,0,0,0,0,0,39,39,0,35,33,13,17,0,32,18,0,0,0,0,0,0,102,8,28.25,13,M,1961
Adele,Chasing Pavements,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,37,37,M,2008
Adele,Hello,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,68,2,7,3,F,2015
Adele,Make You Feel My Love,0,0,0,0,0,0,0,23,32,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2,27.5,23,F,2008
Adele,Rolling in the Deep,0,0,0,0,0,0,0,8,15,39,38,0,0,0,0,0,0,0,0,0,0,0,64,4,25,8,F,2011
Adele,Set Fire to the Rain,0,0,0,0,0,0,0,28,24,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2,26,24,F,2011
Adele,Skyfall,0,0,0,0,0,0,0,0,39,18,0,0,0,0,0,0,0,0,0,0,0,0,25,2,28.5,18,F,2012
Adele,Someone Like You,0,0,0,0,0,0,0,2,4,32,0,0,0,30,0,0,0,0,0,32,0,0,105,5,20,2,F,2011
Aerosmith,I Don't Want To Miss A Thing,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,6,1,35,35,M,1998
Alfie Boe,Bring Him Home,0,0,0,0,0,0,0,0,0,37,0,0,0,39,0,0,0,0,0,0,0,0,6,2,38,37,M,2010
Alex Warren,Ordinary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,22,1,19,19,M,2024
Amy Winehouse,Rehab,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,35,35,F,2006
Animals,We Gotta Get Out Of Place,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,16,1,25,25,M,1965
Anne Murray,You Needed Me,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,30,30,F,1978
The Beatles,Hey Jude,0,19,30,0,33,25,0,0,0,0,34,0,0,0,0,20,0,14,0,0,31,0,122,8,25.75,14,M,1968
The Beatles,Let It Be,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,16,2,33,33,M,1970
The Beatles,Yesterday,40,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,38.5,37,M,1965
Bee Gees,How Deep Is Your Love,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,24,24,M,1977
Benson Boone,Beautiful Things,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,16,1,25,25,M,2024
Bette Midler,Wind Beneath My Wings,3,8,12,9,6,2,2,4,6,5,6,8,12,18,16,13,3,0,0,0,0,0,564,17,7.823529412,2,F,1989
Bill Haley And His Comets,Rock Around the Clock,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,2,22,22,M,1955
Billie Eilish,Birds Of A Feather,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,20,1,21,21,F,2024
Bing Crosby,White Christmas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,21,1,20,20,M,1942
Bob Marley,Three Little Birds,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,26,0,12,0,21,2,15,147,6,16.5,2,M,1980
Bon Jovi,Livin' On A Prayer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,10,0,0,34,2,24,10,M,1986
Bruno Mars,Grenade,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,36,36,M,2011
Bruno Mars,Just The Way You Are,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,18,18,M,2010
Bruno Mars,The Lazy Song,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,14,14,M,2011
Bryan Adams,Summer Of 69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,25,1,16,16,M,1985
Bryan Adams,(Everything I Do) I Do It,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,32,32,M,1991
Candi Staton,You Got The Love,0,0,19,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,66,3,19,10,F,1991
The Carpenters,Close To You,23,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2,28.5,23,F,1970
Celine Dion,My Heart Will Go On,12,14,24,26,23,0,24,0,0,33,0,0,0,36,38,0,18,0,0,33,22,26,204,13,25.30769231,12,F,1998
Chris De Burgh,Lady In Red,2,5,11,27,7,10,5,15,16,16,13,14,37,37,19,11,5,0,0,25,25,0,479,19,15.78947368,2,M,1986
Chris Rea,Driving Home For Xmas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,1,1,40,40,M,1988
Cliff Richard And The Shadows,Congratulations,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,40,40,M,1968
Cliff Richard And The Shadows,Summer Holiday,0,0,25,16,19,0,0,0,0,0,31,0,0,0,31,0,39,0,0,31,11,13,153,9,24,11,M,1963
Coldplay,Paradise,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,19,19,M,2011
Coldplay,Viva La Vida,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,30,30,M,2008
Daft Punk,Get Lucky,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,14,1,27,27,M,2013
Daniel O'Donnell,Danny Boy,27,0,7,4,15,13,37,16,37,28,25,19,0,0,0,0,13,0,0,0,25,0,267,13,20.46153846,4,M,1992
Daniel O'Donnell,I Just Want To Dance,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,2,19,19,M,1992
David Bowie,Life On Mars,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,19,1,22,22,M,1973
Dean Martin,That's Amore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,9,1,32,32,M,1954
Dolly Parton,9 To 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,27,1,14,14,F,1981
Dolly Parton,Jolene,0,0,0,0,0,0,0,0,0,0,18,38,0,34,35,35,0,0,0,0,0,0,45,5,32,18,F,1974
The Eagles,Hotel California,0,0,0,0,0,0,0,0,0,22,20,10,0,22,7,8,0,11,7,38,38,2,266,11,16.81818182,2,M,1977
Ed Sheeran,Castle On The Hill,0,0,0,0,0,0,0,0,0,0,0,0,0,5,22,28,0,0,0,0,0,0,68,3,18.33333333,5,M,2017
Ed Sheeran,Galway Girl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,9,1,32,32,M,2017
Ed Sheeran,Lego House,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,38,38,M,2011
Ed Sheeran,Perfect,0,0,0,0,0,0,0,0,0,0,0,0,0,33,2,9,0,19,21,13,16,7,208,8,15,2,M,2017
Ed Sheeran,Shape Of You,0,0,0,0,0,0,0,0,0,0,0,0,0,4,37,27,0,0,0,0,0,0,55,3,22.66666667,4,M,2017
Ed Sheeran,Thinking Out Loud,0,0,0,0,0,0,0,0,0,0,0,3,10,8,29,0,0,0,0,0,0,0,114,4,12.5,3,M,2014
Elvis Presley,Always On My Mind,35,0,0,0,0,0,0,0,0,0,0,30,0,40,23,0,0,0,0,0,0,0,36,4,32,23,M,1972
Elvis Presley,Blue Suede Shoes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,31,1,10,10,M,1956
Elvis Presley,Can't Help Falling,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,38,38,M,1962
Elvis Presley,Jailhouse Rock,25,34,8,34,25,0,0,0,0,0,27,0,28,14,36,34,34,0,0,6,27,18,224,14,25,6,M,1958
Elvis Presley,Love Me Tender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,29,1,12,12,M,1956
Elvis Presley,Suspicious Minds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,17,9,0,74,3,16.33333333,9,M,1969
Elvis Presley,The Wonder Of You,0,0,0,11,0,0,0,22,18,0,14,31,5,9,33,39,32,0,0,0,21,35,222,12,22.5,5,M,1970
Engelbert Humperdinck,(Please) Release Me,5,3,3,8,14,17,8,11,3,29,21,39,0,0,0,0,4,0,0,0,21,0,388,14,13.28571429,3,M,1967
Eva Cassidy,Over the Rainbow,34,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,3,17.66666667,3,F,2001
Frank Sinatra,Come Fly With Me,0,0,0,0,0,0,21,32,0,34,0,35,26,38,0,0,28,0,0,0,0,0,73,7,30.57142857,21,M,1958
Frank Sinatra,Fly Me To The Moon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,19,1,22,22,M,1964
Frank Sinatra,My Way,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,3,1,4,30,3,4,9,830,22,3.272727273,1,M,1969
Frank Sinatra,"New York, New York",8,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,30,0,0,17,0,0,74,4,22.5,8,M,1980
Frank Sinatra,Strangers In The Night,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,30,30,M,1966
George Ezra,Paradise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,30,0,0,0,0,0,0,24,2,29,28,M,2018
George Ezra,Shotgun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,17,37,0,0,0,100,4,16,2,M,2018
Gerry Ant The Pacemakers,You'll Never Walk Alone,38,0,0,0,0,33,35,0,0,0,0,0,0,0,0,21,0,30,0,0,28,16,86,7,28.71428571,16,M,1963
Glenn Miller And His Orchestra,In The Mood,37,31,9,10,12,18,10,13,11,13,15,7,11,0,0,0,12,0,0,13,15,0,419,16,14.8125,7,M,1939
Glenn Miller And His Orchestra,Moonlight Serenade,0,0,0,0,0,0,0,0,0,0,0,16,23,0,0,0,33,0,0,0,0,0,51,3,24,16,M,1939
Guns N' Roses,Sweet Child O' Mine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,14,1,27,27,M,1988
Harry Styles,As It Was,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,34,14,81,4,20.75,1,M,2022
Harry Styles,Sign Of The Times,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,44,2,19,19,M,2017
Idina Menzel,Let It Go,0,0,0,0,0,0,0,0,0,0,0,15,16,0,0,0,0,0,0,0,0,0,51,2,15.5,15,F,2014
James Blunt,You're Beautiful,0,10,22,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,64,3,19.66666667,10,M,2005
Jennifer Rush,The Power Of Love,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,6,1,35,35,F,1985
Jessie J,Domino,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,33,33,F,2011
Jim Reeves,Distant Drums,7,12,40,0,0,24,18,21,22,0,23,0,0,0,0,0,17,0,0,0,0,0,185,9,20.44444444,7,M,1966
Jim Reeves,He'll Have To Go,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,36,36,M,1960
Jim Reeves,I Love You Because,17,17,13,21,20,5,19,7,27,7,26,23,14,31,0,0,11,0,0,5,33,34,408,18,18.33333333,5,M,1964
John Denver,Annie's Song,33,0,0,0,0,0,0,0,36,38,0,0,0,0,0,0,0,0,0,0,0,0,16,3,35.66666667,33,M,1974
John Lennon,Imagine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,42,2,20,20,M,1975
Johnny Cash,I Walk the Line,28,0,0,0,0,0,20,29,12,17,4,21,27,0,0,0,40,29,0,0,26,0,198,11,23,4,M,1956
Johnny Cash,Ring of Fire,0,0,17,29,36,6,16,33,0,19,19,17,13,16,0,0,21,0,0,26,27,0,279,14,21.07142857,6,M,1963
Justin Bieber,Love Yourself,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,5,1,36,36,M,2015
Justin Bieber,Sorry,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,21,1,20,20,M,2015
Katrina/Waves,Walking On Sunshine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,13,1,28,28,F,1985
Katy Perry,Roar,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,17,1,24,24,F,2013
Keala Settle,This Is Me,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,15,0,0,0,0,0,0,49,2,16.5,15,F,2018
Kenny Rogers And Dolly Parton,Islands in Stream,0,0,0,0,0,0,0,0,31,0,29,0,0,0,13,0,0,0,0,0,12,0,79,4,21.25,12,F,1983
Kings of Leon,Sex on Fire,0,0,0,0,0,21,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2,25.5,21,M,2008
Lady Gaga,Poker Face,0,0,0,0,0,20,25,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,41,3,27.33333333,20,F,2009
Lady Gaga,Die With A Smile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,29,1,12,12,F,2024
Led Zeppelin,Stairway To Heaven,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,35,35,M,1971
Louis Armstrong,What A Wonderful World,21,35,0,24,0,0,28,20,21,14,28,33,6,21,15,31,24,25,0,39,20,17,316,18,23.44444444,6,M,1968
Luciano Pavarotti,Nessun Dorma,15,0,3,31,0,0,40,0,0,0,30,0,0,0,0,0,19,0,0,0,0,0,108,6,23,3,M,1990
Lukas Graham,7 Years,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,34,1,7,7,M,2016
Madness,It Must Be Love,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,34,0,0,0,0,10,2,36,34,M,1981
Mark Ronson,Uptown Funk,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,12,1,29,29,M,2014
Maroon 5,Move Like Jagger,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,29,29,M,2011
Matt Monro,Born Free,0,29,21,32,0,0,36,27,26,23,12,27,0,27,0,0,31,0,0,0,0,0,160,11,26.45454545,12,M,1966
Meatloaf,Bat Out Of Hell,0,0,0,0,0,0,0,0,0,26,39,0,0,25,12,12,0,3,19,9,9,22,234,10,17.6,3,M,1979
Michael Buble,Haven't Met You Yet,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,26,26,M,2009
Michael Jackson,Billie Jean,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,60,2,11,4,M,1983
Michael Jackson,Thriller,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,27,27,M,1983
Monty Python,Always Look On Side,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,0,28,2,27,27,M,1991
Nat King Cole,Unforgettable,26,15,14,36,13,36,29,40,9,30,22,26,24,26,27,0,16,0,0,0,22,0,286,17,24.17647059,9,M,1951
Neil Diamond,Sweet Caroline,0,0,34,22,17,7,7,5,10,6,7,6,4,2,5,5,15,1,5,2,3,6,651,20,8.45,1,M,1971
Noah Kahan,Stick Season,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,16,1,25,25,M,2023
Oasis,Wonderwall,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,20,31,3,30.66666667,20,M,1995
Omi,Cheerleader,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,17,1,24,24,M,2015
One Direction,What Makes You Beautiful,0,0,0,0,0,0,0,0,30,31,0,0,0,0,0,0,0,0,0,0,0,0,21,2,30.5,30,M,2011
Patsy Cline,Crazy,10,11,18,14,18,3,9,26,0,12,31,18,32,35,17,24,9,0,0,12,31,0,408,18,18.33333333,3,F,1961
Pharrell Williams,Happy,0,0,0,0,0,0,0,0,0,0,1,1,2,15,11,10,0,13,0,4,6,5,342,10,6.8,1,M,2013
Pinkfong,Baby Shark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,25,1,16,16,F,2018
Procol Harum,Whiter Shade Of Pale,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,35,35,M,1967
Psy,Gangnam Style,0,0,0,0,0,0,0,0,0,4,40,0,0,0,0,0,0,0,0,0,0,0,38,2,22,4,M,2012
Queen,Bohemian Rhapsody,29,22,10,2,9,19,11,6,5,3,8,5,0,6,3,1,8,2,11,11,5,8,677,21,8.761904762,1,M,1975
Queen,Don't Stop Me Now,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,8,0,38,2,22,8,M,1979
Queen,I Want To Break Free,14,10,26,29,16,15,14,24,17,10,9,9,15,29,6,6,14,8,28,15,24,5,559,22,15.59090909,5,M,1984
Queen,We Are The Champions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,35,0,7,2,37.5,35,M,1977
Rag'N'Bone Man,Human,0,0,0,0,0,0,0,0,0,0,0,0,0,17,35,0,0,0,0,0,0,0,30,2,26,17,M,2016
Rick Astley,Never Gonna Give You,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,12,0,36,0,38,3,28.33333333,12,M,1987
Righteous Brothers,Unchained Melody,0,0,0,0,0,0,0,0,0,0,0,28,0,0,30,0,29,0,0,24,29,0,65,5,28,24,M,1955
Robbie Williams,Angels,4,4,2,5,3,12,3,9,13,8,11,22,34,10,9,7,2,19,29,19,11,12,654,22,11.27272727,2,M,1997
Robbie Williams,Candy,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,16,1,25,25,M,2012
Robin Thicke,Blurred Lines,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,20,1,21,21,M,2013
Rod Stewart,Maggie May,0,0,0,0,31,23,17,35,23,11,10,40,8,12,24,22,36,21,6,11,34,0,333,17,21.41176471,6,M,1971
Rod Stewart,Sailing,18,18,32,17,37,0,27,17,0,20,17,25,37,19,25,17,23,26,38,0,17,0,308,18,23.88888889,17,M,1975
Sam Smith,Stay With Me,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,21,1,20,20,M,2014
Shaboozey,A Bar Song (Tipsy),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,18,1,23,23,M,2024
Simon & Garf.,Bridge Over Water,30,0,0,20,0,0,34,19,14,9,16,12,0,13,14,25,26,5,9,18,19,3,411,17,16.82352941,3,M,1970
Snow Patrol,Chasing Cars,0,0,0,15,22,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,59,4,26.25,15,M,2006
Stevie Wonder,I Just Called Love,36,0,0,0,0,0,22,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,30,3,31,22,M,1984
Strauss,Blue Danube,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,3,1,38,38,M,1866
Susan Boyle,I Dreamed A Dream,0,0,0,0,0,0,6,10,25,36,40,0,0,0,0,0,0,0,0,0,0,0,88,5,23.4,6,F,2009
Take That,Rule the World,0,0,0,0,28,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,32.5,28,M,2007
Take That,The Flood,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,31,31,M,2010
The Killers,Mr Brightside,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,30,36,0,28,3,31.66666667,29,M,2004
The Pogues And Kirsty MacColl,Fairytale of New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,11,1,30,30,F,1987
Tina Turner,(Simply) The Best,6,6,20,12,5,4,12,12,8,24,0,0,0,0,0,0,7,0,0,0,33,11,373,13,12.30769231,4,F,1989
Tom Jones,Delilah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,17,1,24,24,M,1968
Tom Jones,Green Green Grass,13,13,38,0,10,22,32,34,34,0,0,0,0,0,0,0,0,0,0,0,37,0,136,9,25.88888889,10,M,1967
Tony Christie,Is This The Way To Amarillo,0,1,15,40,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,88,4,19,1,M,1971
U2,With or Without You,0,0,27,0,21,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,3,29.33333333,21,M,1987
UB40,Red Red Wine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,M,1983
Vera Lynn,We'll Meet Again,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,F,1939
Westlife,Flying Without Wings,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,2,16,16,M,1999
Westlife,You Raise Me Up,0,39,6,6,4,11,13,30,28,40,0,0,0,0,0,0,10,0,0,23,0,0,241,11,19.09090909,4,M,2005
Wham!,Last Christmas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,34,1,7,7,M,1984
Whitney Houston,I Will Always Love You,0,28,0,28,0,0,0,0,7,15,36,0,18,11,10,19,37,38,0,15,36,12,264,14,22.14285714,7,F,1992
